time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073913
0.015000,0.523375
0.020000,-0.426419
0.025000,0.916424
0.030000,-0.296238
0.035000,0.182524
0.040000,-0.569621
0.045000,0.309437
0.050000,-1.086237
0.055000,-0.000028
0.060000,0.410016
0.065000,-0.800664
0.070000,0.975270
0.075000,0.599062
0.080000,0.178714
0.085000,0.497217
0.090000,0.768577
0.095000,-0.036282
0.100000,0.836319
0.105000,1.053192
0.110000,0.313584
0.115000,0.049142
0.120000,-0.150586
0.125000,-0.106994
0.130000,-1.013647
0.135000,-0.071783
0.140000,0.063403
0.145000,0.411012
0.150000,0.248733
0.155000,-0.612888
0.160000,0.436819
0.165000,-0.078440
0.170000,0.311344
0.175000,0.879464
0.180000,0.058203
0.185000,-0.651880
0.190000,-0.683172
0.195000,-0.026456
0.200000,0.692494
0.205000,-0.665927
0.210000,-0.501264
0.215000,0.153095
0.220000,-0.747686
0.225000,-0.190042
0.230000,0.075759
0.235000,-0.303580
0.240000,-0.254791
0.245000,-0.539427
0.250000,-0.083596
0.255000,-0.689684
0.260000,0.193022
0.265000,-0.269370
0.270000,-0.408947
0.275000,-0.506974
0.280000,0.089279
0.285000,0.251691
0.290000,-0.520801
0.295000,-0.285310
0.300000,-0.032048
0.305000,-0.313291
0.310000,0.599371
0.314999,-0.020365
0.319999,0.531156
0.324999,0.520307
0.329999,0.595119
0.334999,-0.110389
0.339999,-0.268173
0.344999,-0.040925
0.349999,-0.620349
0.354999,-0.198428
0.359999,0.126541
0.364999,0.504109
0.369999,1.158665
0.374999,0.261448
0.379999,-0.179715
0.384999,-0.629865
0.389999,0.284376
0.394998,0.172930
0.399998,-0.022377
0.404998,-0.829043
0.409998,0.234396
0.414998,-0.229766
0.419998,0.433770
0.424998,0.091697
0.429998,-0.550840
0.434998,-0.332594
0.439998,-0.223728
0.444998,0.043591
0.449998,-0.997669
0.454998,-1.224589
0.459998,0.030616
0.464998,0.352062
0.469997,-0.570188
0.474997,-0.511668
0.479997,0.882764
0.484997,0.188346
0.489997,-0.624602
0.494997,-0.125751
0.499997,-0.277547
0.504997,0.322469
0.509997,-0.384679
0.514997,0.226044
0.519997,-0.094565
0.524997,0.020100
0.529997,-0.625180
0.534997,0.103518
0.539997,0.396365
0.544997,0.203561
0.549996,-0.608342
0.554996,0.063468
0.559996,-0.488545
0.564996,0.394552
0.569996,-0.876458
0.574996,-0.047583
0.579996,-0.077205
0.584996,-0.060426
0.589996,0.363634
0.594996,0.435715
0.599996,-0.971492
0.604996,0.059652
0.609996,-0.301243
0.614996,0.104196
0.619996,0.357053
0.624996,-0.262396
0.629995,0.502572
0.634995,0.089338
0.639995,-1.068040
